batch_size,case,chips,dataset_mode,dropped_overlength,failure_type,final_cumulative_loss_tokens,final_cumulative_valid_tokens,final_loss,first_step_time_sec,long_example_policy,lora_rank,loss_tokens_per_sec_excl_first,max_length,max_steps,mean_loss,mean_step_time_sec_excl_first,mesh_fsdp,mesh_tp,model,model_id,oom_exceeded_gib,oom_limit_gib,oom_used_gib,packed_efficiency,packed_rows,packed_rows_used,prepared_batches,row_reduction_x,run_dir,runtime_hbm_limit_gb,runtime_peak_hbm_gb,second_step_time_sec,source_examples_fit,status,steps_recorded,suite,tpu,valid_tokens_per_sec_excl_first,variant,wall_time_sec,xla_report,xla_train_step_gib_per_chip,dataset_label,chip_count
4,opus100_4chip_b4b8_l1024_2048_unpacked_b4_l2048_s30,4,opus100,,compile_oom,,,,,drop,16,nan,2048,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,27.64,15.75,43.39,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_unpacked_b4_l2048_s30,,,,,failed,,opus100_4chip_b4b8_l1024_2048,v5litepod-4,,unpacked,,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_unpacked_b4_l2048_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,43.98,OPUS100,4
4,opus100_4chip_b4b8_l1024_2048_packed_b4_l2048_s30,4,opus100,,compile_oom,,,,,drop,16,nan,2048,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,27.64,15.75,43.39,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_packed_b4_l2048_s30,,,,,failed,,opus100_4chip_b4b8_l1024_2048,v5litepod-4,,packed,,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_packed_b4_l2048_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,43.99,OPUS100,4
8,opus100_4chip_b4b8_l1024_2048_unpacked_b8_l1024_s30,4,opus100,,compile_oom,,,,,drop,16,nan,1024,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,14.65,15.75,30.40,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_unpacked_b8_l1024_s30,,,,,failed,,opus100_4chip_b4b8_l1024_2048,v5litepod-4,,unpacked,,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_unpacked_b8_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,30.99,OPUS100,4
8,opus100_4chip_b4b8_l1024_2048_packed_b8_l1024_s30,4,opus100,,compile_oom,,,,,drop,16,nan,1024,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,14.65,15.75,30.40,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_packed_b8_l1024_s30,,,,,failed,,opus100_4chip_b4b8_l1024_2048,v5litepod-4,,packed,,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_packed_b8_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,31.0,OPUS100,4
8,opus100_4chip_b4b8_l1024_2048_unpacked_b8_l2048_s30,4,opus100,,compile_oom,,,,,drop,16,nan,2048,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,73.00,15.75,88.74,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_unpacked_b8_l2048_s30,,,,,failed,,opus100_4chip_b4b8_l1024_2048,v5litepod-4,,unpacked,,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_unpacked_b8_l2048_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,89.33,OPUS100,4
8,opus100_4chip_b4b8_l1024_2048_packed_b8_l2048_s30,4,opus100,,compile_oom,,,,,drop,16,nan,2048,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,72.99,15.75,88.74,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_packed_b8_l2048_s30,,,,,failed,,opus100_4chip_b4b8_l1024_2048,v5litepod-4,,packed,,/tmp/qwen3-0p6b-packing4-grid/opus100/opus100_4chip_b4b8_l1024_2048_packed_b8_l2048_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,89.36,OPUS100,4
4,oasst1_4chip_b4b8_l1024_2048_unpacked_b4_l1024_s30,4,oasst1,27,,21340,27742,3.5107555389404297,25.86121257600007,drop,16,1933.2347365575333,1024,30,2.048617112636566,0.3668855357585581,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.23444079815718022,4973,4972,1243,1.0,/tmp/qwen3-0p6b-packing4-grid/oasst1/oasst1_4chip_b4b8_l1024_2048_unpacked_b4_l1024_s30,67.637338112,2.689849344,0.44005586299999777,4973,ok,30,oasst1_4chip_b4b8_l1024_2048,v5litepod-4,2512.6694271539254,unpacked,47.32360663699956,/tmp/qwen3-0p6b-packing4-grid/oasst1/oasst1_4chip_b4b8_l1024_2048_unpacked_b4_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.4,OASST1,4
4,oasst1_4chip_b4b8_l1024_2048_packed_b4_l1024_s30,4,oasst1,27,,99888,122845,2.228207588195801,25.946376730999873,drop,16,9256.948334030014,1024,30,1.5678533911705017,0.36711659044826306,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.9988878735539846,1167,1164,291,4.261353898886033,/tmp/qwen3-0p6b-packing4-grid/oasst1/oasst1_4chip_b4b8_l1024_2048_packed_b4_l1024_s30,67.637338112,2.707820544,0.44478468799979964,4973,ok,30,oasst1_4chip_b4b8_l1024_2048,v5litepod-4,11157.218460213502,packed,47.529665561,/tmp/qwen3-0p6b-packing4-grid/oasst1/oasst1_4chip_b4b8_l1024_2048_packed_b4_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,13.41,OASST1,4
4,oasst1_4chip_b4b8_l1024_2048_unpacked_b4_l2048_s30,4,oasst1,,compile_oom,,,,,drop,16,nan,2048,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,27.64,15.75,43.39,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/oasst1/oasst1_4chip_b4b8_l1024_2048_unpacked_b4_l2048_s30,,,,,failed,,oasst1_4chip_b4b8_l1024_2048,v5litepod-4,,unpacked,,/tmp/qwen3-0p6b-packing4-grid/oasst1/oasst1_4chip_b4b8_l1024_2048_unpacked_b4_l2048_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,43.98,OASST1,4
4,oasst1_4chip_b4b8_l1024_2048_packed_b4_l2048_s30,4,oasst1,,compile_oom,,,,,drop,16,nan,2048,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,27.64,15.75,43.39,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/oasst1/oasst1_4chip_b4b8_l1024_2048_packed_b4_l2048_s30,,,,,failed,,oasst1_4chip_b4b8_l1024_2048,v5litepod-4,,packed,,/tmp/qwen3-0p6b-packing4-grid/oasst1/oasst1_4chip_b4b8_l1024_2048_packed_b4_l2048_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,43.99,OASST1,4
8,oasst1_4chip_b4b8_l1024_2048_unpacked_b8_l1024_s30,4,oasst1,,compile_oom,,,,,drop,16,nan,1024,30,,nan,4,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,14.65,15.75,30.40,nan,,,,nan,/tmp/qwen3-0p6b-packing4-grid/oasst1/oasst1_4chip_b4b8_l1024_2048_unpacked_b8_l1024_s30,,,,,failed,,oasst1_4chip_b4b8_l1024_2048,v5litepod-4,,unpacked,,/tmp/qwen3-0p6b-packing4-grid/oasst1/oasst1_4chip_b4b8_l1024_2048_unpacked_b8_l1024_s30/xla/module_0446.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,30.99,OASST1,4
4,alpaca_b4b8_l512_2048_unpacked_b4_l512_s50,1,alpaca,1,,9713,17821,1.7373735904693604,36.23531098700005,drop,16,2644.8570049885757,512,50,1.5595463812351227,0.07335761736733415,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.18158980309247397,4999,4996,1249,1.0,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b4_l512_s50,16.909336064,2.901010432,0.16081727699997828,4999,ok,50,alpaca_b4b8_l512_2048,v5litepod-1,4869.3522834032865,unpacked,50.24081892999993,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b4_l512_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,8.4,Alpaca,1
4,alpaca_b4b8_l512_2048_packed_b4_l512_s50,1,alpaca,1,,79905,102249,1.852150559425354,35.7761198149999,drop,16,21671.767041715517,512,50,1.7359421014785767,0.0735999428775822,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.9900533328789531,917,916,229,5.451472191930208,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b4_l512_s50,16.909336064,2.902052864,0.15985037299992655,4999,ok,50,alpaca_b4b8_l512_2048,v5litepod-1,27787.565932052625,packed,49.57042915399984,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b4_l512_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,8.4,Alpaca,1
4,alpaca_b4b8_l512_2048_unpacked_b4_l1024_s50,1,alpaca,,compile_oom,,,,,drop,16,nan,1024,50,,nan,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,nan,,,,nan,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b4_l1024_s50,,,,,failed,,alpaca_b4b8_l512_2048,v5litepod-1,,unpacked,,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b4_l1024_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.15,Alpaca,1
4,alpaca_b4b8_l512_2048_packed_b4_l1024_s50,1,alpaca,,compile_oom,,,,,drop,16,nan,1024,50,,nan,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,nan,,,,nan,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b4_l1024_s50,,,,,failed,,alpaca_b4b8_l512_2048,v5litepod-1,,packed,,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b4_l1024_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.15,Alpaca,1
4,alpaca_b4b8_l512_2048_unpacked_b4_l2048_s50,1,alpaca,,compile_oom,,,,,drop,16,nan,2048,50,,nan,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,27.39,15.75,43.13,nan,,,,nan,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b4_l2048_s50,,,,,failed,,alpaca_b4b8_l512_2048,v5litepod-1,,unpacked,,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b4_l2048_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,45.4,Alpaca,1
4,alpaca_b4b8_l512_2048_packed_b4_l2048_s50,1,alpaca,,compile_oom,,,,,drop,16,nan,2048,50,,nan,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,27.39,15.75,43.13,nan,,,,nan,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b4_l2048_s50,,,,,failed,,alpaca_b4b8_l512_2048,v5litepod-1,,packed,,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b4_l2048_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,45.41,Alpaca,1
8,alpaca_b4b8_l512_2048_unpacked_b8_l512_s50,1,alpaca,1,,19831,35742,1.9582641124725342,28.68566321199978,drop,16,2110.146409067643,512,50,1.6805356860160827,0.1857981146734866,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.18142230694110578,4999,4992,624,1.0,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b8_l512_s50,16.909336064,2.477942784,0.467062722999799,4999,ok,50,alpaca_b4b8_l512_2048,v5litepod-1,3828.8211715829425,unpacked,47.86188666199996,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b8_l512_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.32,Alpaca,1
8,alpaca_b4b8_l512_2048_packed_b8_l512_s50,1,alpaca,1,,150529,204136,1.6822932958602905,28.209369484000035,drop,16,16511.504981105372,512,50,1.7030115079879762,0.1817767772653014,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.9900533328789531,917,912,114,5.451472191930208,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b8_l512_s50,16.909336064,2.472162304,0.2639323080002214,4999,ok,50,alpaca_b4b8_l512_2048,v5litepod-1,22459.931015238373,packed,47.13902075099986,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b8_l512_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,14.32,Alpaca,1
8,alpaca_b4b8_l512_2048_unpacked_b8_l1024_s50,1,alpaca,,compile_oom,,,,,drop,16,nan,1024,50,,nan,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,12.99,15.75,28.74,nan,,,,nan,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b8_l1024_s50,,,,,failed,,alpaca_b4b8_l512_2048,v5litepod-1,,unpacked,,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b8_l1024_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,31.0,Alpaca,1
8,alpaca_b4b8_l512_2048_packed_b8_l1024_s50,1,alpaca,,compile_oom,,,,,drop,16,nan,1024,50,,nan,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,12.99,15.75,28.74,nan,,,,nan,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b8_l1024_s50,,,,,failed,,alpaca_b4b8_l512_2048,v5litepod-1,,packed,,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b8_l1024_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,31.01,Alpaca,1
8,alpaca_b4b8_l512_2048_unpacked_b8_l2048_s50,1,alpaca,,compile_oom,,,,,drop,16,nan,2048,50,,nan,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,71.44,15.75,87.19,nan,,,,nan,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b8_l2048_s50,,,,,failed,,alpaca_b4b8_l512_2048,v5litepod-1,,unpacked,,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_unpacked_b8_l2048_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,89.46,Alpaca,1
8,alpaca_b4b8_l512_2048_packed_b8_l2048_s50,1,alpaca,,compile_oom,,,,,drop,16,nan,2048,50,,nan,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,71.44,15.75,87.19,nan,,,,nan,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b8_l2048_s50,,,,,failed,,alpaca_b4b8_l512_2048,v5litepod-1,,packed,,/tmp/qwen3-0p6b-packing-grid/alpaca/alpaca_b4b8_l512_2048_packed_b8_l2048_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,89.48,Alpaca,1
4,opus100_b4b8_l512_2048_unpacked_b4_l512_s50,1,opus100,3,,2416,8950,1.3235417604446411,35.78819783199998,drop,16,660.9468513731962,512,50,1.9358004891872407,0.07253045446938061,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.12746408063951162,4997,4996,1249,1.0,/tmp/qwen3-0p6b-packing-grid/opus100/opus100_b4b8_l512_2048_unpacked_b4_l512_s50,16.909336064,2.901010432,0.1162847319999969,4997,ok,50,opus100_b4b8_l512_2048,v5litepod-1,2458.6435024687053,unpacked,51.719289715,/tmp/qwen3-0p6b-packing-grid/opus100/opus100_b4b8_l512_2048_unpacked_b4_l512_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,8.4,OPUS100,1
4,opus100_b4b8_l512_2048_packed_b4_l512_s50,1,opus100,3,,51811,101998,1.460111379623413,35.183461144000034,drop,16,14041.398685254793,512,50,1.5619678688049317,0.07361467930612592,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,0.9891395331909938,644,644,161,7.759316770186335,/tmp/qwen3-0p6b-packing-grid/opus100/opus100_b4b8_l512_2048_packed_b4_l512_s50,16.909336064,2.902052864,0.15804312300008405,4997,ok,50,opus100_b4b8_l512_2048,v5litepod-1,27709.09195820681,packed,49.19925799700002,/tmp/qwen3-0p6b-packing-grid/opus100/opus100_b4b8_l512_2048_packed_b4_l512_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,8.4,OPUS100,1
4,opus100_b4b8_l512_2048_unpacked_b4_l1024_s50,1,opus100,,compile_oom,,,,,drop,16,nan,1024,50,,nan,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,nan,,,,nan,/tmp/qwen3-0p6b-packing-grid/opus100/opus100_b4b8_l512_2048_unpacked_b4_l1024_s50,,,,,failed,,opus100_b4b8_l512_2048,v5litepod-1,,unpacked,,/tmp/qwen3-0p6b-packing-grid/opus100/opus100_b4b8_l512_2048_unpacked_b4_l1024_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.15,OPUS100,1
4,opus100_b4b8_l512_2048_packed_b4_l1024_s50,1,opus100,,compile_oom,,,,,drop,16,nan,1024,50,,nan,1,1,Qwen3 0.6B,Qwen/Qwen3-0.6B,,,,nan,,,,nan,/tmp/qwen3-0p6b-packing-grid/opus100/opus100_b4b8_l512_2048_packed_b4_l1024_s50,,,,,failed,,opus100_b4b8_l512_2048,v5litepod-1,,packed,,/tmp/qwen3-0p6b-packing-grid/opus100/opus100_b4b8_l512_2048_packed_b4_l1024_s50/xla/module_0429.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt,16.15,OPUS100,1
